,_unit_id,_golden,_unit_state_x,_trusted_judgments,_last_judgment_at_x,violence_judgment,violence,violence_confidence,protest_judgment_x,protest,protest_confidence,created_at,id,proccd_text,Fatma_protest,Fatma_violence,clean_text
0,1657977939,False,finalized,3,3/30/2018 15:01:20,"""nan""",0.0,1.0,"""000""",0,1.0,Sat Jun 15 12:14:33 +0000 2013,3.46e+17,lawn goose clothes lot DD outfit pattern sewing turkey uncle sam santa ballerina ebay httpAddress,0,0,lawn goose clothes lot outfit pattern sewing uncle sam santa ballerina ebay
1,1657977940,False,finalized,3,3/30/2018 15:11:00,"""010""",0.0,0.6606,"""111""",1,1.0,Tue Jun 04 16:04:35 +0000 2013,3.42e+17,rt usrId turkish police have blacked out id numbers on their helmuts at #occupygezi #direngeziparki httpAddress why ? httpAddress,1,0,police blacked id numbers helmuts
2,1657977941,False,finalized,3,3/30/2018 15:05:25,"""000""",0.0,1.0,"""111""",1,1.0,Sat Jun 01 07:12:41 +0000 2013,3.41e+17,rt usrId #occupy #taksim protesters in #istanbul call on #akp govt to httpAddress httpAddress,1,0,occupy call akp govt
3,1657977942,False,finalized,3,04/06/18 11:49,"""1""",0.0,0.0,"""010""",0,0.6767,Sun Jun 09 14:53:50 +0000 2013,3.44e+17,rt usrId usrId erdogan says vandals entering mosques with beer bottles and attacking women with headscarves #turkey,0,0,erdogan says vandals entering mosques beer bottles attacking women headscarves
4,1657977943,False,finalized,3,3/30/2018 15:33:35,"""nan""",0.0,1.0,"""000""",0,1.0,Sat Jun 01 22:08:17 +0000 2013,3.41e+17,photoset forest dreams turkey needs support as always the media try to hide the truth httpAddress httpAddress,0,0,photoset forest dreams needs support always media try hide truth
5,1657977944,False,finalized,3,04/06/18 14:35,"""00""",0.0,0.659,"""110""",1,0.659,Sat Jun 01 19:58:31 +0000 2013,3.41e+17,rt usrId protesters set up barricades to halt #turkish cops from marching back to taksim sq . httpAddress hoping people ll httpAddress httpAddress,1,0,set barricades halt cops marching back sq hoping people
7,1657977946,False,finalized,3,3/30/2018 15:01:20,"""00""",0.0,0.6515,"""101""",1,0.6515,Mon Jun 03 19:19:02 +0000 2013,3.42e+17,rt usrId moroccans protesting erdogan s visit #direngeziparki it says no to the criminal s visit to our country httpAddress,0,0,moroccans protesting erdogan visit says criminal visit country
8,1657977947,False,finalized,3,3/30/2018 15:09:17,"""000""",0.0,1.0,"""111""",1,1.0,Thu Jun 13 13:27:20 +0000 2013,3.45e+17,taksim square and gezi park protests designing a common present future and past httpAddress,1,0,square designing common present future past
9,1657977948,False,finalized,3,3/30/2018 15:31:17,"""000""",0.0,1.0,"""111""",1,1.0,Wed Jun 05 17:39:21 +0000 2013,3.42e+17,rt usrId investors baffled by turkey protests moneybeat wsj httpAddress via usrId with usrId,0,0,investors baffled moneybeat wsj via
10,1657977949,False,finalized,3,3/30/2018 15:02:31,"""100""",0.0,0.6676,"""111""",1,1.0,Fri May 31 21:24:52 +0000 2013,3.41e+17,rt usrId turkish media ignoring the protests usrId ntv is airing a cooking show no i am not kidding #occupygezi httpAddress,1,0,media ignoring ntv airing cooking show kidding
11,1657977950,False,finalized,3,3/30/2018 15:29:27,"""11""",1.0,0.6612,"""101""",1,0.6612,Mon Jun 10 03:49:59 +0000 2013,3.44e+17,turkey police crush protests in ankara istanbul photos video,1,1,police crush ankara photos video
12,1657977951,False,finalized,3,04/06/18 12:26,"""nan""",0.0,1.0,"""000""",0,1.0,Sat Jun 01 10:23:40 +0000 2013,3.41e+17,july 19 DD turkeys human rights hypocrisy httpAddress,0,0,july turkeys human rights hypocrisy
